Ano;Países;Código ISIC Classe;Descrição ISIC Classe;Valor US$ FOB;chave;atividade_cod;atividade_desc;cnae2_4cod;cnae2_cod;isic4_sec;isic4_cod; isic4_desc;cnae2_desc;brl_usd;Valor RS$ FOB
2012;Estados Unidos;3020;Fabricação de locomotivas e material circulante;23064244;30;3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3011;30;C;30;FABRICACIÓN DE OTRO  EQUIPO DE TRANSPORTE;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;1.9546;45081371.322399996
2012;Estados Unidos;2812;Fabricação de equipamentos para energia hidráulica;21381513;28;2800;Fabricação de máquinas e equipamentos mecânicos;2811;28;C;28;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;1.9546;41792305.3098
2012;Estados Unidos;1399;Fabricação de outros têxteis n.e.c.;21321422;13;1300;Fabricação de produtos têxteis;1311;13;C;13;FABRICACIÓN DE PRODUCTOS TEXTILES;FABRICAÇÃO DE PRODUTOS TÊXTEIS;1.9546;41674851.441199996
2012;Estados Unidos;1512;Fabricação de malas, bolsas e semelhantes, selaria e arreios;21205587;15;1500;Fabricação de calçados e de artefatos de couro;1510;15;C;15;FABRICACIÓN DE PRODUCTOS DE CUERO Y PRODUCTOS CONEXOS;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;1.9546;41448440.3502
2012;Estados Unidos;2823;Fabricação de máquinas para metalurgia;20370521;28;2800;Fabricação de máquinas e equipamentos mecânicos;2811;28;C;28;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;1.9546;39816220.346599996
2012;Estados Unidos;2660;Fabricação de equipamentos de irradiação, eletromédicos e eletroterapêuticos;19360201;26;2600;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;2610;26;C;26;FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, DE ELECTRÓNICA Y DE ÓPTICA;FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS;1.9546;37841448.8746
2012;Estados Unidos;0121;Cultivo de uvas;19162062;012;0191;Agricultura, inclusive o apoio à agricultura e a pós-colheita;0111;011;A;012;Cultivo de plantas perennes;Produção de lavouras temporárias;1.9546;37454166.3852
2012;Estados Unidos;2310;Fabricação de produtos de vidro e vidro;18877234;23;2300;Fabricação de produtos de minerais não metálicos;2311;23;C;23;FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;1.9546;36897441.5764
2012;Estados Unidos;2822;Fabricação de máquinas e máquinas-ferramentas para moldagem de metais;18686942;28;2800;Fabricação de máquinas e equipamentos mecânicos;2811;28;C;28;FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;1.9546;36525496.8332
2012;Estados Unidos;2023;Fabricação de sabão e detergentes, produtos de limpeza e polimento, perfumes e produtos de toilette;17302446;202;2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2051;205;C;202;Fabricación de otros productos químicos;Fabricação de defensivos agrícolas e desinfestantes domissanitários;1.9546;33819360.9516
2012;Estados Unidos;2391;Fabricação de produtos refratários;17249407;23;2300;Fabricação de produtos de minerais não metálicos;2311;23;C;23;FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;1.9546;33715690.9222
2012;Estados Unidos;1410;Fabricação de vestuário, exceto vestuários de peles;16403907;14;1400;Confecção de artefatos do vestuário e acessórios;1411;14;C;14;FABRICACIÓN DE PRENDAS DE VESTIR;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;1.9546;32063076.622199997
2012;Estados Unidos;3091;Fabricação de motocicletas;13251946;30;3000;Fabricação de outros equipamentos de transporte, exceto veículos automotores;3011;30;C;30;FABRICACIÓN DE OTRO  EQUIPO DE TRANSPORTE;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;1.9546;25902253.6516
2012;Estados Unidos;2021;Fabricação de pesticidas e outros produtos agroquímicos;12973050;202;2092;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;2051;205;C;202;Fabricación de otros productos químicos;Fabricação de defensivos agrícolas e desinfestantes domissanitários;1.9546;25357123.529999997
